"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.772010268009626","6456","0.525608888904735","56.6403142702744","4976.9001334522","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.777067577750533","28987","0.269009778347235","71.0357200356138","22483.1109001431","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.687777787758221","4980","0.673395921231281","75.2916330391579","3433.77402190032","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.691880293431382","3922","0.762180574382978","77.723750459196","2716.02663021918","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.670185553064882","5603","0.62210479581194","74.9101045277859","3759.66603544853","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.6769487703147","8392","0.501894832009475","73.158599878147","5701.22665360917","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.715469736391077","4194","0.680884460158297","65.2864667466802","3003.76829604485","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.763200843342403","11005","0.416114014006556","62.2098248137344","8333.20806202295","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.728101777658365","4310","0.609155433538689","55.1193051658437","3134.3709314624","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.694239814996135","9084","0.450067471408271","63.1772768966211","6309.32523543754","1"
"year","2011","388011","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.643813836015307","8016","0.519339634418898","76.0954746528389","5166.41625720777","1"
"year","2011","388012","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.682263820710771","8530","0.513654152291739","79.6354971661326","5819.96280520636","1"
"year","2011","388013","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.670368623480268","10987","0.451114759452511","77.2556344302921","7359.99529786435","1"
"year","2011","388014","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.75509642617104","28407","0.267716715607793","65.1801550518638","21370.1822424657","1"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.786592239418587","450","1.93022613592697","53.9383800407279","353.241576028341","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.780877076358876","3459","0.777894121534413","70.5064992940286","2692.75140886669","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.645685594226135","277","2.95857657993776","83.5580873199455","179.354776006523","1"
