"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.0618556701030928","12","1.72951256733705","27.9604531719491","194","1"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.0457165573444643","230","0.294474908157817","6.44131853453035","5031","1"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.0488997555012225","20","1.06636243205918","21.8071117356102","409","1"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.0522415709522045","141","0.428307322742123","8.1985919438368","2699","1"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.0397665085735133","109","0.373243830763697","9.38588385434215","2741","1"
"year","2010","country","BRB","BRB-IPUMS","tasa_no_asis_4_5_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.0459558823529412","250","0.28389342459086","6.17752091909711","5440","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.0258440046565774","222","0.171197562623028","6.62426604924237","8590","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","men","Total","Total","Otro","Total","Total","0.016750418760469","10","0.525239711276487","31.3568107632063","597","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.0191090706042933","154","0.152506924795568","7.98086562939926","8059","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.0132013201320132","8","0.463646140795267","35.1211951652415","606","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.0225839389753138","376","0.115145111515479","5.09853979154578","16649","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.0149625935162095","18","0.350023325567333","23.3932255920834","1203","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.0252530749972788","232","0.163687762780139","6.48189429595318","9187","1"
"year","2010",NA,"BRB","BRB-IPUMS","tasa_no_asis_6_11_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.0186959030582804","162","0.145509298248079","7.78295104518274","8665","1"
